Success,Failed,Reason,Company,Job URL,Timestamp
,FAILED,External Application,Associated_Environmental_Systems,https://app.joinhandshake.com/jobs/11074367,2026-06-05 19:27:33
,FAILED,Already Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11071248,2026-06-05 19:27:43
SUCCESS,,Applied,SnapMate,https://app.joinhandshake.com/jobs/11073508,2026-06-05 19:27:51
,FAILED,Already Applied,ClubZ!_Tutoring_Services,https://app.joinhandshake.com/jobs/11085694,2026-06-05 19:27:54
,FAILED,Submission failed (no confirmation),Rubbl,https://app.joinhandshake.com/jobs/11054694,2026-06-05 19:28:15
SUCCESS,,Applied,The_UMBC_Career_Center_Employer_Network,https://app.joinhandshake.com/jobs/11073605,2026-06-05 19:28:24
,FAILED,Already Applied,Black_Gold_Farms,https://app.joinhandshake.com/jobs/11053586,2026-06-05 19:28:26
,FAILED,External Application,U.S._Customs_and_Border_Protection,https://app.joinhandshake.com/jobs/11099791,2026-06-05 19:28:36
,FAILED,External Application,AMEWAS,https://app.joinhandshake.com/jobs/11098424,2026-06-05 19:28:38
,FAILED,Already Applied,Fairfax_County_Public_Schools_Department_of_IT,https://app.joinhandshake.com/jobs/11068839,2026-06-05 19:28:49
SUCCESS,,Applied,Neurohire.ai,https://app.joinhandshake.com/jobs/11054220,2026-06-05 19:28:52
,FAILED,Already Applied,BetterBasket,https://app.joinhandshake.com/jobs/11035324,2026-06-05 19:29:00
,FAILED,Already Applied,8020ai,https://app.joinhandshake.com/jobs/11045126,2026-06-05 19:29:11
,FAILED,Already Applied,AMEWAS,https://app.joinhandshake.com/jobs/11090654,2026-06-05 19:29:22
SUCCESS,,Applied,District_Photo_Inc,https://app.joinhandshake.com/jobs/11042276,2026-06-05 19:29:25
SUCCESS,,Applied,Sol_IT,https://app.joinhandshake.com/jobs/11100194,2026-06-05 19:29:41
,FAILED,Submission failed (no confirmation),DivIHN_Integration_Inc.,https://app.joinhandshake.com/jobs/11054195,2026-06-05 19:29:43
,FAILED,Already Applied,CEO_Foundry_LLC,https://app.joinhandshake.com/jobs/11077105,2026-06-05 19:29:54
SUCCESS,,Applied,Novora_Mgt.,https://app.joinhandshake.com/jobs/11089120,2026-06-05 19:29:58
,FAILED,External Application,LMI,https://app.joinhandshake.com/jobs/11024800,2026-06-05 19:30:06
SUCCESS,,Applied,Durandal_Inc.,https://app.joinhandshake.com/jobs/10995296,2026-06-05 19:30:16
,FAILED,External Application,Associated_Environmental_Systems,https://app.joinhandshake.com/jobs/11074367,2026-06-05 19:30:17
,FAILED,External Application,Space_Telescope_Science_Institute,https://app.joinhandshake.com/jobs/11056350,2026-06-05 19:30:27
,FAILED,Already Applied,SnapMate,https://app.joinhandshake.com/jobs/11073508,2026-06-05 19:30:28
,FAILED,Already Applied,The_UMBC_Career_Center_Employer_Network,https://app.joinhandshake.com/jobs/11073605,2026-06-05 19:30:39
SUCCESS,,Applied,MCL_Systems_Limited,https://app.joinhandshake.com/jobs/11080550,2026-06-05 19:30:43
,FAILED,External Application,U.S._Customs_and_Border_Protection,https://app.joinhandshake.com/jobs/11099791,2026-06-05 19:30:50
,FAILED,External Application,Navy_Civilian_Careers,https://app.joinhandshake.com/jobs/10901153,2026-06-05 19:30:54
,FAILED,Already Applied,Neurohire.ai,https://app.joinhandshake.com/jobs/11054220,2026-06-05 19:31:02
,FAILED,External Application,SimVentions,https://app.joinhandshake.com/jobs/11092580,2026-06-05 19:31:06
,FAILED,Already Applied,District_Photo_Inc,https://app.joinhandshake.com/jobs/11042276,2026-06-05 19:31:13
SUCCESS,,Applied,Capgemini_America_Inc.,https://app.joinhandshake.com/jobs/11105702,2026-06-05 19:31:23
,FAILED,Already Applied,Sol_IT,https://app.joinhandshake.com/jobs/11100194,2026-06-05 19:31:24
,FAILED,External Application,J.F._Taylor_Inc.,https://app.joinhandshake.com/jobs/11037684,2026-06-05 19:31:34
,FAILED,Already Applied,Novora_Mgt.,https://app.joinhandshake.com/jobs/11089120,2026-06-05 19:31:35
,FAILED,Already Applied,Durandal_Inc.,https://app.joinhandshake.com/jobs/10995296,2026-06-05 19:31:46
,FAILED,Submission failed (no confirmation),Naval_Surface_Warfare_Center_Dahlgren_Division_(NSWCDD),https://app.joinhandshake.com/jobs/11051755,2026-06-05 19:31:54
,FAILED,External Application,Space_Telescope_Science_Institute,https://app.joinhandshake.com/jobs/11056350,2026-06-05 19:31:58
,FAILED,External Application,Finys,https://app.joinhandshake.com/jobs/11097674,2026-06-05 19:32:06
,FAILED,Already Applied,MCL_Systems_Limited,https://app.joinhandshake.com/jobs/11080550,2026-06-05 19:32:09
,FAILED,External Application,Navy_Civilian_Careers,https://app.joinhandshake.com/jobs/10901153,2026-06-05 19:32:21
,FAILED,Submission failed (no confirmation),Armada_Recovery,https://app.joinhandshake.com/jobs/11037830,2026-06-05 19:32:27
,FAILED,External Application,SimVentions,https://app.joinhandshake.com/jobs/11092580,2026-06-05 19:32:32
,FAILED,Already Applied,Capgemini_America_Inc.,https://app.joinhandshake.com/jobs/11105702,2026-06-05 19:32:44
,FAILED,External Application,J.F._Taylor_Inc.,https://app.joinhandshake.com/jobs/11037684,2026-06-05 19:32:55
SUCCESS,,Applied,Fenix_Commerce_Inc,https://app.joinhandshake.com/jobs/10871071,2026-06-05 19:33:03
,FAILED,Submission failed (no confirmation),Naval_Surface_Warfare_Center_Dahlgren_Division_(NSWCDD),https://app.joinhandshake.com/jobs/11051755,2026-06-05 19:33:16
,FAILED,External Application,Finys,https://app.joinhandshake.com/jobs/11097674,2026-06-05 19:33:27
SUCCESS,,Applied,Gene,https://app.joinhandshake.com/jobs/11063040,2026-06-05 19:33:37
,FAILED,Submission failed (no confirmation),Armada_Recovery,https://app.joinhandshake.com/jobs/11037830,2026-06-05 19:33:47
,FAILED,Submission failed (no confirmation),Armada_Recovery,https://app.joinhandshake.com/jobs/11037871,2026-06-05 19:33:58
,FAILED,Already Applied,Fenix_Commerce_Inc,https://app.joinhandshake.com/jobs/10871071,2026-06-05 19:33:58
,FAILED,Already Applied,Gene,https://app.joinhandshake.com/jobs/11063040,2026-06-05 19:34:10
SUCCESS,,Applied,Sun_Net_Inc.,https://app.joinhandshake.com/jobs/11072251,2026-06-05 19:34:15
,FAILED,Submission failed (no confirmation),Armada_Recovery,https://app.joinhandshake.com/jobs/11037871,2026-06-05 19:34:31
SUCCESS,,Applied,Cincinnati_Youth_Collaborative,https://app.joinhandshake.com/jobs/11096903,2026-06-05 19:34:32
,FAILED,Already Applied,Sun_Net_Inc.,https://app.joinhandshake.com/jobs/11072251,2026-06-05 19:34:42
SUCCESS,,Applied,Automate_HQ_Inc.,https://app.joinhandshake.com/jobs/11072861,2026-06-05 19:34:49
,FAILED,Already Applied,Cincinnati_Youth_Collaborative,https://app.joinhandshake.com/jobs/11096903,2026-06-05 19:34:54
,FAILED,External Application,ALLETE_Inc,https://app.joinhandshake.com/jobs/11077001,2026-06-05 19:35:01
,FAILED,Already Applied,Automate_HQ_Inc.,https://app.joinhandshake.com/jobs/11072861,2026-06-05 19:35:05
,FAILED,External Application,ALLETE_Inc,https://app.joinhandshake.com/jobs/11077001,2026-06-05 19:35:17
SUCCESS,,Applied,Stealth_Startup,https://app.joinhandshake.com/jobs/11070060,2026-06-05 19:35:17
,FAILED,Already Applied,Stealth_Startup,https://app.joinhandshake.com/jobs/11070060,2026-06-05 19:35:28
SUCCESS,,Applied,VowchedMe,https://app.joinhandshake.com/jobs/11095547,2026-06-05 19:35:51
,FAILED,Submission failed (no confirmation),VowchedMe,https://app.joinhandshake.com/jobs/11095547,2026-06-05 19:36:05
SUCCESS,,Applied,Creative_Mind_Technology_LLC,https://app.joinhandshake.com/jobs/11033686,2026-06-05 19:36:24
SUCCESS,,Applied,Serigor_Inc.,https://app.joinhandshake.com/jobs/11041075,2026-06-05 19:36:41
,FAILED,Submission failed (no confirmation),Creative_Mind_Technology_LLC,https://app.joinhandshake.com/jobs/11033686,2026-06-05 19:36:41
,FAILED,External Application,Secureframe_Inc.,https://app.joinhandshake.com/jobs/11074525,2026-06-05 19:36:52
,FAILED,Already Applied,Serigor_Inc.,https://app.joinhandshake.com/jobs/11041075,2026-06-05 19:36:53
,FAILED,External Application,Secureframe_Inc.,https://app.joinhandshake.com/jobs/11074525,2026-06-05 19:37:05
SUCCESS,,Applied,Finacity_Corporation,https://app.joinhandshake.com/jobs/11103605,2026-06-05 19:37:09
,FAILED,Already Applied,Finacity_Corporation,https://app.joinhandshake.com/jobs/11103605,2026-06-05 19:37:16
SUCCESS,,Applied,Sain_Technologies,https://app.joinhandshake.com/jobs/10952284,2026-06-05 19:37:25
,FAILED,External Application,Kitware,https://app.joinhandshake.com/jobs/11068083,2026-06-05 19:37:36
,FAILED,Submission failed (no confirmation),Sain_Technologies,https://app.joinhandshake.com/jobs/10952284,2026-06-05 19:37:37
,FAILED,External Application,Command_Holding,https://app.joinhandshake.com/jobs/11053894,2026-06-05 19:37:48
,FAILED,External Application,Kitware,https://app.joinhandshake.com/jobs/11068083,2026-06-05 19:37:48
,FAILED,External Application,Command_Holding,https://app.joinhandshake.com/jobs/11053894,2026-06-05 19:38:00
SUCCESS,,Applied,Rhymetec_Cybersecurity,https://app.joinhandshake.com/jobs/11027130,2026-06-05 19:38:05
,FAILED,Already Applied,Rhymetec_Cybersecurity,https://app.joinhandshake.com/jobs/11027130,2026-06-05 19:38:11
,FAILED,External Application,Gnostech_Inc,https://app.joinhandshake.com/jobs/11079353,2026-06-05 19:38:17
,FAILED,External Application,Gnostech_Inc,https://app.joinhandshake.com/jobs/11079353,2026-06-05 19:38:22
SUCCESS,,Applied,Steelcut_Software_Inc.,https://app.joinhandshake.com/jobs/10870715,2026-06-05 19:38:52
,FAILED,Submission failed (no confirmation),Steelcut_Software_Inc.,https://app.joinhandshake.com/jobs/10870715,2026-06-05 19:38:59
,FAILED,External Application,iHerb,https://app.joinhandshake.com/jobs/11076930,2026-06-05 19:39:03
,FAILED,External Application,iHerb,https://app.joinhandshake.com/jobs/11076930,2026-06-05 19:39:11
SUCCESS,,Applied,SmartWorks_LLC,https://app.joinhandshake.com/jobs/11096570,2026-06-05 19:39:20
,FAILED,External Application,AMEWAS,https://app.joinhandshake.com/jobs/11098686,2026-06-05 19:39:31
,FAILED,Submission failed (no confirmation),SmartWorks_LLC,https://app.joinhandshake.com/jobs/11096570,2026-06-05 19:39:32
,FAILED,External Application,AMEWAS,https://app.joinhandshake.com/jobs/11098686,2026-06-05 19:39:43
SUCCESS,,Applied,SmartWorks_LLC,https://app.joinhandshake.com/jobs/11092085,2026-06-05 19:39:48
,FAILED,Already Applied,SmartWorks_LLC,https://app.joinhandshake.com/jobs/11092085,2026-06-05 19:39:55
SUCCESS,,Applied,Neurohire.ai,https://app.joinhandshake.com/jobs/11088541,2026-06-05 19:40:06
,FAILED,Submission failed (no confirmation),Neurohire.ai,https://app.joinhandshake.com/jobs/11088541,2026-06-05 19:40:16
SUCCESS,,Applied,James_Hardie_Building_Products,https://app.joinhandshake.com/jobs/11072917,2026-06-05 19:40:23
,FAILED,Already Applied,James_Hardie_Building_Products,https://app.joinhandshake.com/jobs/11072917,2026-06-05 19:40:27
SUCCESS,,Applied,Institute_for_Building_Technology_and_Safety,https://app.joinhandshake.com/jobs/11040928,2026-06-05 19:40:40
,FAILED,Submission failed (no confirmation),Institute_for_Building_Technology_and_Safety,https://app.joinhandshake.com/jobs/11040928,2026-06-05 19:40:48
SUCCESS,,Applied,USGS_-_Eastern_Ecological_Science_Center,https://app.joinhandshake.com/jobs/11061921,2026-06-05 19:41:14
,FAILED,Submission failed (no confirmation),USGS_-_Eastern_Ecological_Science_Center,https://app.joinhandshake.com/jobs/11061921,2026-06-05 19:41:25
,FAILED,Submission failed (no confirmation),DivIHN_Integration_Inc.,https://app.joinhandshake.com/jobs/11050460,2026-06-05 19:41:35
,FAILED,Submission failed (no confirmation),DivIHN_Integration_Inc.,https://app.joinhandshake.com/jobs/11050460,2026-06-05 19:41:46
SUCCESS,,Applied,Unisys_Blue_Bell_Pennsylvania,https://app.joinhandshake.com/jobs/11062975,2026-06-05 19:41:52
,FAILED,Already Applied,Unisys_Blue_Bell_Pennsylvania,https://app.joinhandshake.com/jobs/11062975,2026-06-05 19:41:57
SUCCESS,,Applied,Benchmark_IT_Solutions_LLC,https://app.joinhandshake.com/jobs/11059137,2026-06-05 19:42:08
,FAILED,Submission failed (no confirmation),Benchmark_IT_Solutions_LLC,https://app.joinhandshake.com/jobs/11059137,2026-06-05 19:42:19
SUCCESS,,Applied,Variantyx_Inc.,https://app.joinhandshake.com/jobs/10950423,2026-06-05 19:42:41
,FAILED,Submission failed (no confirmation),Variantyx_Inc.,https://app.joinhandshake.com/jobs/10950423,2026-06-05 19:42:56
SUCCESS,,Applied,Sandberg_Goldberg_Bernthal_Family_Foundation,https://app.joinhandshake.com/jobs/10948438,2026-06-05 19:42:58
,FAILED,Already Applied,Sandberg_Goldberg_Bernthal_Family_Foundation,https://app.joinhandshake.com/jobs/10948438,2026-06-05 19:43:07
,FAILED,External Application,Cutsforth_Inc.,https://app.joinhandshake.com/jobs/11093921,2026-06-05 19:43:09
,FAILED,External Application,Cutsforth_Inc.,https://app.joinhandshake.com/jobs/11093921,2026-06-05 19:43:18
SUCCESS,,Applied,GetDynasty,https://app.joinhandshake.com/jobs/11038258,2026-06-05 19:43:26
,FAILED,Already Applied,GetDynasty,https://app.joinhandshake.com/jobs/11038258,2026-06-05 19:43:29
,FAILED,External Application,PNC_Financial_Services,https://app.joinhandshake.com/jobs/11074830,2026-06-05 19:43:38
,FAILED,External Application,PNC_Financial_Services,https://app.joinhandshake.com/jobs/11074830,2026-06-05 19:43:41
SUCCESS,,Applied,VeYou,https://app.joinhandshake.com/jobs/11068968,2026-06-05 19:43:54
,FAILED,Submission failed (no confirmation),VeYou,https://app.joinhandshake.com/jobs/11068968,2026-06-05 19:44:02
SUCCESS,,Applied,NV_ADVANTAGE_INC,https://app.joinhandshake.com/jobs/11063370,2026-06-05 19:44:11
,FAILED,Submission failed (no confirmation),NV_ADVANTAGE_INC,https://app.joinhandshake.com/jobs/11063370,2026-06-05 19:44:22
SUCCESS,,Applied,DEKAMCO,https://app.joinhandshake.com/jobs/10927739,2026-06-05 19:44:28
,FAILED,Already Applied,DEKAMCO,https://app.joinhandshake.com/jobs/10927739,2026-06-05 19:44:33
SUCCESS,,Applied,Elektrik_App_inc,https://app.joinhandshake.com/jobs/11030182,2026-06-05 19:44:45
,FAILED,Submission failed (no confirmation),Elektrik_App_inc,https://app.joinhandshake.com/jobs/11030182,2026-06-05 19:44:55
,FAILED,Broken Job Page,Zensar_Technologies_Inc.,https://app.joinhandshake.com/jobs/11015445,2026-06-05 19:44:56
,ERROR,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://a,D3_LLC_&_Conex_Digital_LLC,https://app.joinhandshake.com/jobs/11097713,2026-06-05 19:45:18
,ERROR,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://a,Zensar_Technologies_Inc.,https://app.joinhandshake.com/jobs/11015445,2026-06-05 19:45:19
SUCCESS,,Applied,Neurohire.ai,https://app.joinhandshake.com/jobs/11034643,2026-06-05 19:45:35
SUCCESS,,Applied,D3_LLC_&_Conex_Digital_LLC,https://app.joinhandshake.com/jobs/11097713,2026-06-05 19:45:36
,FAILED,Already Applied,Neurohire.ai,https://app.joinhandshake.com/jobs/11034643,2026-06-05 19:45:48
SUCCESS,,Applied,Swivel_Payment_Solutions_LLC,https://app.joinhandshake.com/jobs/11095475,2026-06-05 19:45:52
,FAILED,Already Applied,Swivel_Payment_Solutions_LLC,https://app.joinhandshake.com/jobs/11095475,2026-06-05 19:45:59
SUCCESS,,Applied,Yakshna_Solutions_Inc.,https://app.joinhandshake.com/jobs/11094436,2026-06-05 19:46:09
,FAILED,Submission failed (no confirmation),Yakshna_Solutions_Inc.,https://app.joinhandshake.com/jobs/11094436,2026-06-05 19:46:20
SUCCESS,,Applied,Steelcut_Software_Inc.,https://app.joinhandshake.com/jobs/10870470,2026-06-05 19:46:43
,FAILED,Submission failed (no confirmation),Steelcut_Software_Inc.,https://app.joinhandshake.com/jobs/10870470,2026-06-05 19:46:57
,FAILED,Submission failed (no confirmation),PillPilot,https://app.joinhandshake.com/jobs/11062514,2026-06-05 19:47:03
,FAILED,Submission failed (no confirmation),PillPilot,https://app.joinhandshake.com/jobs/11062514,2026-06-05 19:47:17
,FAILED,Submission failed (no confirmation),Whale_Rock_Capital_Management,https://app.joinhandshake.com/jobs/11075393,2026-06-05 19:47:24
,FAILED,Submission failed (no confirmation),Whale_Rock_Capital_Management,https://app.joinhandshake.com/jobs/11075393,2026-06-05 19:47:38
,FAILED,Submission failed (no confirmation),Naval_Surface_Warfare_Center_Dahlgren_Division_(NSWCDD),https://app.joinhandshake.com/jobs/11060196,2026-06-05 19:47:45
,FAILED,Submission failed (no confirmation),Naval_Surface_Warfare_Center_Dahlgren_Division_(NSWCDD),https://app.joinhandshake.com/jobs/11060196,2026-06-05 19:47:59
SUCCESS,,Applied,GRA_Incorporated,https://app.joinhandshake.com/jobs/11059797,2026-06-05 19:48:01
,FAILED,Already Applied,GRA_Incorporated,https://app.joinhandshake.com/jobs/11059797,2026-06-05 19:48:10
SUCCESS,,Applied,Code_Platoon,https://app.joinhandshake.com/jobs/10056498,2026-06-05 19:48:18
,FAILED,Already Applied,Code_Platoon,https://app.joinhandshake.com/jobs/10056498,2026-06-05 19:48:21
,FAILED,Submission failed (no confirmation),Hometown_Nannies_Plus_LLC,https://app.joinhandshake.com/jobs/11106180,2026-06-05 19:48:38
,FAILED,Submission failed (no confirmation),Hometown_Nannies_Plus_LLC,https://app.joinhandshake.com/jobs/11106180,2026-06-05 19:48:42
SUCCESS,,Applied,The_DNA_Brand_Group_of_Companies,https://app.joinhandshake.com/jobs/11043183,2026-06-05 19:48:55
,FAILED,Submission failed (no confirmation),The_DNA_Brand_Group_of_Companies,https://app.joinhandshake.com/jobs/11043183,2026-06-05 19:49:03
,FAILED,External Application,DefenseStorm,https://app.joinhandshake.com/jobs/11103065,2026-06-05 19:49:06
,FAILED,External Application,DefenseStorm,https://app.joinhandshake.com/jobs/11103065,2026-06-05 19:49:14
,FAILED,External Application,Coalition_Technologies,https://app.joinhandshake.com/jobs/11080396,2026-06-05 19:49:18
,FAILED,External Application,Coalition_Technologies,https://app.joinhandshake.com/jobs/11080396,2026-06-05 19:49:25
,FAILED,Submission failed (no confirmation),MyDataProduct,https://app.joinhandshake.com/jobs/10887655,2026-06-05 19:49:38
,FAILED,Submission failed (no confirmation),MyDataProduct,https://app.joinhandshake.com/jobs/10887655,2026-06-05 19:49:46
SUCCESS,,Applied,Softech_Technology_Group_Inc,https://app.joinhandshake.com/jobs/10766777,2026-06-05 19:49:55
,FAILED,Submission failed (no confirmation),Softech_Technology_Group_Inc,https://app.joinhandshake.com/jobs/10766777,2026-06-05 19:50:06
SUCCESS,,Applied,WealthPlan_Group,https://app.joinhandshake.com/jobs/11100414,2026-06-05 19:50:28
SUCCESS,,Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11067644,2026-06-05 19:50:45
,FAILED,Submission failed (no confirmation),WealthPlan_Group,https://app.joinhandshake.com/jobs/11100414,2026-06-05 19:50:45
,FAILED,Already Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11067644,2026-06-05 19:50:57
SUCCESS,,Applied,CSLabs,https://app.joinhandshake.com/jobs/11107413,2026-06-05 19:51:02
,FAILED,Already Applied,CSLabs,https://app.joinhandshake.com/jobs/11107413,2026-06-05 19:51:08
SUCCESS,,Applied,Gil_Sewing_Corporation,https://app.joinhandshake.com/jobs/11097343,2026-06-05 19:51:35
,FAILED,Submission failed (no confirmation),Gil_Sewing_Corporation,https://app.joinhandshake.com/jobs/11097343,2026-06-05 19:51:45
SUCCESS,,Applied,US_Gov_Early_Careers,https://app.joinhandshake.com/jobs/10903532,2026-06-05 19:51:52
,FAILED,Already Applied,US_Gov_Early_Careers,https://app.joinhandshake.com/jobs/10903532,2026-06-05 19:51:57
SUCCESS,,Applied,Advantest_America_Inc.,https://app.joinhandshake.com/jobs/11063869,2026-06-05 19:52:09
,FAILED,Submission failed (no confirmation),Advantest_America_Inc.,https://app.joinhandshake.com/jobs/11063869,2026-06-05 19:52:18
SUCCESS,,Applied,BrainTrain_Inc.,https://app.joinhandshake.com/jobs/10760467,2026-06-05 19:52:43
,FAILED,Submission failed (no confirmation),BrainTrain_Inc.,https://app.joinhandshake.com/jobs/10760467,2026-06-05 19:52:54
SUCCESS,,Applied,Redsun_Solution_LLC,https://app.joinhandshake.com/jobs/11046581,2026-06-05 19:52:59
,FAILED,Already Applied,Redsun_Solution_LLC,https://app.joinhandshake.com/jobs/11046581,2026-06-05 19:53:05
SUCCESS,,Applied,1Phi,https://app.joinhandshake.com/jobs/11052139,2026-06-05 19:53:32
,FAILED,Submission failed (no confirmation),1Phi,https://app.joinhandshake.com/jobs/11052139,2026-06-05 19:53:42
SUCCESS,,Applied,SupplyPoint,https://app.joinhandshake.com/jobs/11084710,2026-06-05 19:53:49
,FAILED,Already Applied,SupplyPoint,https://app.joinhandshake.com/jobs/11084710,2026-06-05 19:53:54
,FAILED,External Application,Metron,https://app.joinhandshake.com/jobs/11059718,2026-06-05 19:54:00
,FAILED,External Application,Metron,https://app.joinhandshake.com/jobs/11059718,2026-06-05 19:54:05
,FAILED,Submission failed (no confirmation),Myers_Emergency_Power_Systems,https://app.joinhandshake.com/jobs/11070628,2026-06-05 19:54:20
,FAILED,Submission failed (no confirmation),Myers_Emergency_Power_Systems,https://app.joinhandshake.com/jobs/11070628,2026-06-05 19:54:26
SUCCESS,,Applied,Astera_Holdings,https://app.joinhandshake.com/jobs/11066347,2026-06-05 19:54:37
,FAILED,Submission failed (no confirmation),Astera_Holdings,https://app.joinhandshake.com/jobs/11066347,2026-06-05 19:54:46
SUCCESS,,Applied,Zebra_Strategies_Inc.,https://app.joinhandshake.com/jobs/11055127,2026-06-05 19:54:53
,FAILED,Already Applied,Zebra_Strategies_Inc.,https://app.joinhandshake.com/jobs/11055127,2026-06-05 19:54:58
SUCCESS,,Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11074931,2026-06-05 19:55:10
,FAILED,Submission failed (no confirmation),Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11074931,2026-06-05 19:55:19
,FAILED,External Application,Cognizant,https://app.joinhandshake.com/jobs/11073140,2026-06-05 19:55:21
